epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,11392.3,0.3336,0.27173,0.82352,0.96282,0.93286,0.97966,0.90316,0.64461,0.5493,1.00128,0.000734564,0.000734564,0.000734564
115,11494.8,0.34392,0.272,0.82251,0.95298,0.92921,0.97589,0.89834,0.66689,0.59879,1.00517,0.000726312,0.000726312,0.000726312
116,11596.7,0.33432,0.26824,0.82145,0.94753,0.92972,0.97257,0.89689,0.66131,0.61454,1.00374,0.00071806,0.00071806,0.00071806
117,11700.9,0.34647,0.27425,0.82327,0.94999,0.92564,0.97591,0.8975,0.66408,0.61123,1.00563,0.000709809,0.000709809,0.000709809
118,11804.3,0.32964,0.26736,0.82169,0.95414,0.91457,0.97351,0.89731,0.65841,0.63657,1.00285,0.000701557,0.000701557,0.000701557
119,11906.2,0.33643,0.26703,0.82704,0.9559,0.92431,0.97352,0.89531,0.65131,0.61717,0.99263,0.000693305,0.000693305,0.000693305
120,12014.5,0.34389,0.27041,0.81918,0.96054,0.9226,0.97347,0.89224,0.67777,0.61675,1.00829,0.000685054,0.000685054,0.000685054
121,12115.2,0.32355,0.26503,0.82076,0.95119,0.92603,0.97461,0.89929,0.66027,0.60998,1.00185,0.000676802,0.000676802,0.000676802
122,12214.7,0.32916,0.26574,0.81564,0.94102,0.93723,0.97464,0.89635,0.66779,0.61107,1.00229,0.00066855,0.00066855,0.00066855
123,12317.3,0.34946,0.27651,0.82085,0.95287,0.92162,0.97421,0.89663,0.67482,0.61576,1.00932,0.000660299,0.000660299,0.000660299
124,12418.2,0.33334,0.26739,0.82133,0.95352,0.92807,0.97203,0.89551,0.66319,0.64239,0.99949,0.000652047,0.000652047,0.000652047
125,12516.4,0.32344,0.26249,0.81991,0.95947,0.92651,0.97286,0.89561,0.62991,0.58167,0.98643,0.000643795,0.000643795,0.000643795
126,12618.2,0.33892,0.26864,0.81895,0.95861,0.91829,0.97561,0.90043,0.62392,0.57928,0.98169,0.000635544,0.000635544,0.000635544
127,12717.3,0.31838,0.25844,0.81708,0.95394,0.91929,0.97555,0.90358,0.63772,0.65374,0.98916,0.000627292,0.000627292,0.000627292
128,12819.7,0.34396,0.26584,0.81889,0.94837,0.93616,0.97917,0.90099,0.63911,0.55635,1.00002,0.00061904,0.00061904,0.00061904
129,12916.9,0.33934,0.27096,0.82331,0.95024,0.92646,0.97606,0.90071,0.63028,0.55694,0.99413,0.000610789,0.000610789,0.000610789
130,13014.8,0.32278,0.25991,0.81972,0.95721,0.92623,0.97834,0.90077,0.64755,0.53275,1.00053,0.000602537,0.000602537,0.000602537
131,13110.2,0.3235,0.25945,0.82171,0.95626,0.92449,0.97697,0.90082,0.64135,0.57499,0.98908,0.000594286,0.000594286,0.000594286
132,13210.2,0.31493,0.25445,0.81864,0.94179,0.93093,0.97189,0.90079,0.63612,0.60913,0.98474,0.000586034,0.000586034,0.000586034
133,13305.4,0.3331,0.26732,0.82092,0.95718,0.91803,0.9758,0.90232,0.62734,0.59416,0.98926,0.000577782,0.000577782,0.000577782
134,13402.8,0.32235,0.2593,0.82036,0.94846,0.93031,0.97803,0.90193,0.65173,0.5582,1.00186,0.000569531,0.000569531,0.000569531
135,13499.4,0.32382,0.26054,0.81503,0.9582,0.92348,0.97615,0.90635,0.64386,0.59186,0.99697,0.000561279,0.000561279,0.000561279
136,13593.2,0.31263,0.25079,0.81268,0.95603,0.92516,0.97576,0.90193,0.64664,0.64768,0.99696,0.000553027,0.000553027,0.000553027
137,13689.1,0.32178,0.25296,0.81771,0.93891,0.93683,0.97432,0.90401,0.62987,0.63225,0.9847,0.000544776,0.000544776,0.000544776
138,13783.5,0.32326,0.25445,0.82027,0.95529,0.92663,0.97567,0.90535,0.64341,0.59819,0.9917,0.000536524,0.000536524,0.000536524
139,13877.6,0.32412,0.25872,0.82225,0.95668,0.92831,0.97636,0.90429,0.63203,0.57787,0.98812,0.000528272,0.000528272,0.000528272
140,13970.8,0.31168,0.25062,0.81432,0.95013,0.92543,0.96784,0.89737,0.64616,0.67252,0.98899,0.000520021,0.000520021,0.000520021
141,14066.1,0.31557,0.2485,0.8148,0.94511,0.9291,0.96871,0.89945,0.6396,0.66429,0.9948,0.000511769,0.000511769,0.000511769
142,14163.1,0.3348,0.25687,0.81997,0.95344,0.92816,0.968,0.89714,0.65238,0.64791,1.00633,0.000503517,0.000503517,0.000503517
143,14259.6,0.32023,0.25638,0.82144,0.94942,0.93057,0.97276,0.90009,0.64538,0.60923,1.00064,0.000495266,0.000495266,0.000495266
144,14353.4,0.30966,0.24985,0.81371,0.96357,0.91849,0.97309,0.90047,0.63634,0.60549,1.00063,0.000487014,0.000487014,0.000487014
145,14452.8,0.32748,0.254,0.81237,0.95613,0.92831,0.97659,0.90183,0.64321,0.58519,0.99692,0.000478762,0.000478762,0.000478762
146,14546.4,0.29901,0.24655,0.81664,0.9631,0.92663,0.97557,0.90394,0.6356,0.58946,0.99944,0.000470511,0.000470511,0.000470511
147,14645.3,0.3285,0.25897,0.81612,0.96431,0.9156,0.97478,0.90578,0.6344,0.61114,0.99633,0.000462259,0.000462259,0.000462259
148,14742.6,0.32212,0.25539,0.81771,0.96549,0.91929,0.97693,0.90765,0.61762,0.61121,0.98843,0.000454007,0.000454007,0.000454007
149,14839.9,0.29694,0.2417,0.80729,0.96694,0.92513,0.9779,0.90499,0.62199,0.56091,0.98291,0.000445756,0.000445756,0.000445756
150,14937.9,0.31472,0.25058,0.81891,0.95629,0.92547,0.97459,0.89952,0.63771,0.59233,0.99466,0.000437504,0.000437504,0.000437504
151,15034.7,0.31174,0.2492,0.81812,0.95576,0.92433,0.97166,0.89689,0.64105,0.59604,0.99571,0.000429253,0.000429253,0.000429253
152,15133.2,0.31252,0.2495,0.81728,0.9599,0.92455,0.97297,0.90233,0.63072,0.58602,0.99215,0.000421001,0.000421001,0.000421001
153,15231.5,0.31,0.24848,0.82009,0.9419,0.92878,0.96876,0.89675,0.64281,0.63084,1.004,0.000412749,0.000412749,0.000412749
154,15330.8,0.30337,0.2422,0.81495,0.95315,0.92171,0.97121,0.90056,0.64175,0.59776,0.99601,0.000404498,0.000404498,0.000404498
155,15429.7,0.31712,0.25013,0.81698,0.94028,0.92796,0.96999,0.90182,0.64702,0.624,0.99669,0.000396246,0.000396246,0.000396246
156,15525.4,0.30454,0.24287,0.81407,0.94469,0.92964,0.96966,0.89699,0.64931,0.63864,1.00197,0.000387994,0.000387994,0.000387994
157,15622.7,0.28997,0.23671,0.81331,0.9587,0.91335,0.97034,0.89991,0.63337,0.62618,0.99953,0.000379743,0.000379743,0.000379743
158,15719.7,0.29774,0.24146,0.81419,0.95325,0.91496,0.96846,0.90011,0.64508,0.6962,1.00108,0.000371491,0.000371491,0.000371491
159,15816.2,0.30557,0.24339,0.81337,0.95864,0.91202,0.96863,0.89836,0.6429,0.66227,0.99866,0.000363239,0.000363239,0.000363239
160,15914.8,0.29824,0.2394,0.8103,0.95211,0.92583,0.97281,0.90026,0.64998,0.58404,1.00484,0.000354988,0.000354988,0.000354988
161,16013.1,0.29848,0.23829,0.81254,0.95524,0.92241,0.97375,0.90061,0.63778,0.57382,1.00243,0.000346736,0.000346736,0.000346736
162,16112.2,0.28611,0.23154,0.80771,0.95906,0.92416,0.97506,0.90266,0.62976,0.57502,1.00151,0.000338484,0.000338484,0.000338484
163,16209.3,0.28116,0.23239,0.812,0.95706,0.92903,0.9711,0.90115,0.64405,0.60279,0.9974,0.000330233,0.000330233,0.000330233
164,16308.2,0.3005,0.24045,0.80978,0.95832,0.92281,0.97212,0.90194,0.6482,0.62769,1.00122,0.000321981,0.000321981,0.000321981
165,16404.9,0.28697,0.2334,0.81532,0.95535,0.92266,0.97045,0.90078,0.64667,0.63332,1.00553,0.000313729,0.000313729,0.000313729
166,16503.5,0.29911,0.23998,0.81486,0.95126,0.92541,0.97033,0.89834,0.64315,0.61112,1.00697,0.000305478,0.000305478,0.000305478
167,16603.1,0.28717,0.23229,0.80886,0.95579,0.92556,0.97117,0.90104,0.63196,0.61395,0.99839,0.000297226,0.000297226,0.000297226
168,16701.4,0.29203,0.23632,0.81388,0.95326,0.92258,0.97074,0.90016,0.6282,0.61281,0.99382,0.000288974,0.000288974,0.000288974
169,16801,0.28933,0.23383,0.81344,0.95902,0.91589,0.96969,0.89676,0.63039,0.60821,0.99282,0.000280723,0.000280723,0.000280723
